no;source;target;module;weight
127;updateRPHPRegisterStatus;moment;integrationAccess;3599
128;updateRPHPRegisterStatus;table;integrationAccess;3599
129;organizations_ga;connection;organizationGa;3599
130;organizations_ga;tableGa;organizationGa;3599
131;organizations_ga;tableOrganizationGa;organizationGa;3599
132;organizations_ga;getRefGaOrg;organizationGa;3599
133;user_registration;connection;userRegistration;3599
134;user_registration;generate;userRegistration;3599
135;user_registration;userRegistration;userRegistration;3599
136;user_registration;table;userRegistration;3599
137;user_registration;organizations;userRegistration;3599
138;user_registration;users;userRegistration;3599
139;insertListUserRegist;connection;userRegistration;3599
140;insertListUserRegist;generate;userRegistration;3599
141;insertListUserRegist;userRegistration;userRegistration;3599
142;insertListUserRegist;table;userRegistration;3599
143;insertListUserRegist;organizations;userRegistration;3599
144;insertListUserRegist;users;userRegistration;3599
145;getUserRegist;connection;userRegistration;3599
146;getUserRegist;generate;userRegistration;3599
147;getUserRegist;userRegistration;userRegistration;3599
148;getUserRegist;table;userRegistration;3599
149;getUserRegist;organizations;userRegistration;3599
150;getUserRegist;users;userRegistration;3599
151;setApporvalStatus;connection;userRegistration;3599
152;setApporvalStatus;generate;userRegistration;3599
153;setApporvalStatus;userRegistration;userRegistration;3599
154;setApporvalStatus;table;userRegistration;3599
155;setApporvalStatus;organizations;userRegistration;3599
156;setApporvalStatus;users;userRegistration;3599
157;getUserRegisterBySvcNumber;connection;userRegistration;3599
158;getUserRegisterBySvcNumber;generate;userRegistration;3599
159;getUserRegisterBySvcNumber;userRegistration;userRegistration;3599
160;getUserRegisterBySvcNumber;table;userRegistration;3599
161;getUserRegisterBySvcNumber;organizations;userRegistration;3599
162;getUserRegisterBySvcNumber;users;userRegistration;3599
163;updateStatusUserRegister;connection;userRegistration;3599
164;updateStatusUserRegister;generate;userRegistration;3599
165;updateStatusUserRegister;userRegistration;userRegistration;3599
166;updateStatusUserRegister;table;userRegistration;3599
167;updateStatusUserRegister;organizations;userRegistration;3599
168;updateStatusUserRegister;users;userRegistration;3599
169;getUserRegistPayload;connection;userRegistration;3599
170;getUserRegistPayload;generate;userRegistration;3599
171;getUserRegistPayload;userRegistration;userRegistration;3599
172;getUserRegistPayload;table;userRegistration;3599
173;getUserRegistPayload;organizations;userRegistration;3599
174;getUserRegistPayload;users;userRegistration;3599
175;checkTokenKongPlatform;connection;dbKongPlatform;3599
176;checkTokenKongPlatform;table;dbKongPlatform;3599
177;checkTokenKongPlatform;moment;dbKongPlatform;3599
178;checkTokenKongPlatform;dbKongPlatform;dbKongPlatform;3599
179;checkTokenKongPlatform;timenow;dbKongPlatform;3599
180;checkTokenKongPlatform;time14days;dbKongPlatform;3599
181;getConsumerCredentialsId;connection;dbKongPlatform;3599
182;getConsumerCredentialsId;table;dbKongPlatform;3599
183;getConsumerCredentialsId;moment;dbKongPlatform;3599
184;getConsumerCredentialsId;dbKongPlatform;dbKongPlatform;3599
185;getConsumerCredentialsId;timenow;dbKongPlatform;3599
186;getConsumerCredentialsId;time14days;dbKongPlatform;3599
187;getTokenKongPlatform;connection;dbKongPlatform;3599
188;getTokenKongPlatform;table;dbKongPlatform;3599
189;getTokenKongPlatform;moment;dbKongPlatform;3599
190;getTokenKongPlatform;dbKongPlatform;dbKongPlatform;3599
191;getTokenKongPlatform;timenow;dbKongPlatform;3599
192;getTokenKongPlatform;time14days;dbKongPlatform;3599
193;insertTokenKongPlatform;connection;dbKongPlatform;3599
194;insertTokenKongPlatform;table;dbKongPlatform;3599
195;insertTokenKongPlatform;moment;dbKongPlatform;3599
196;insertTokenKongPlatform;dbKongPlatform;dbKongPlatform;3599
197;insertTokenKongPlatform;timenow;dbKongPlatform;3599
198;insertTokenKongPlatform;time14days;dbKongPlatform;3599
199;updateTokenKongPlatform;connection;dbKongPlatform;3599
200;updateTokenKongPlatform;table;dbKongPlatform;3599
201;updateTokenKongPlatform;moment;dbKongPlatform;3599
202;updateTokenKongPlatform;dbKongPlatform;dbKongPlatform;3599
203;updateTokenKongPlatform;timenow;dbKongPlatform;3599
204;updateTokenKongPlatform;time14days;dbKongPlatform;3599
205;deleteTokenKongPlatform;connection;dbKongPlatform;3599
206;deleteTokenKongPlatform;table;dbKongPlatform;3599
207;deleteTokenKongPlatform;moment;dbKongPlatform;3599
208;deleteTokenKongPlatform;dbKongPlatform;dbKongPlatform;3599
209;deleteTokenKongPlatform;timenow;dbKongPlatform;3599
210;deleteTokenKongPlatform;time14days;dbKongPlatform;3599
211;checkTokenKongProdG2;connection;dbKongProdG2;3599
212;checkTokenKongProdG2;table;dbKongProdG2;3599
213;checkTokenKongProdG2;moment;dbKongProdG2;3599
214;checkTokenKongProdG2;dbKongProdG2;dbKongProdG2;3599
215;checkTokenKongProdG2;timenow;dbKongProdG2;3599
216;checkTokenKongProdG2;time14days;dbKongProdG2;3599
217;checkAccessTokenKongProdG2;connection;dbKongProdG2;3599
218;checkAccessTokenKongProdG2;table;dbKongProdG2;3599
219;checkAccessTokenKongProdG2;moment;dbKongProdG2;3599
220;checkAccessTokenKongProdG2;dbKongProdG2;dbKongProdG2;3599
221;checkAccessTokenKongProdG2;timenow;dbKongProdG2;3599
222;checkAccessTokenKongProdG2;time14days;dbKongProdG2;3599
223;getTokenKongProdG2;connection;dbKongProdG2;3599
224;getTokenKongProdG2;table;dbKongProdG2;3599
225;getTokenKongProdG2;moment;dbKongProdG2;3599
226;getTokenKongProdG2;dbKongProdG2;dbKongProdG2;3599
227;getTokenKongProdG2;timenow;dbKongProdG2;3599
228;getTokenKongProdG2;time14days;dbKongProdG2;3599
229;insertTokenKongProdG2;connection;dbKongProdG2;3599
230;insertTokenKongProdG2;table;dbKongProdG2;3599
231;insertTokenKongProdG2;moment;dbKongProdG2;3599
232;insertTokenKongProdG2;dbKongProdG2;dbKongProdG2;3599
233;insertTokenKongProdG2;timenow;dbKongProdG2;3599
234;insertTokenKongProdG2;time14days;dbKongProdG2;3599
235;updateTokenKongProdG2;connection;dbKongProdG2;3599
236;updateTokenKongProdG2;table;dbKongProdG2;3599
237;updateTokenKongProdG2;moment;dbKongProdG2;3599
238;updateTokenKongProdG2;dbKongProdG2;dbKongProdG2;3599
239;updateTokenKongProdG2;timenow;dbKongProdG2;3599
240;updateTokenKongProdG2;time14days;dbKongProdG2;3599
241;deleteTokenKongProdG2;connection;dbKongProdG2;3599
